12:00:00.0	TIME 12:00:01
12:01:02.0	ON
12:01:04.0	OFF
12:01:06.0	ON
12:01:08.0	ON
12:01:12.0	CONN EYE 1
12:01:13.0	CONN EYE 2
12:01:14.0	CONN GATE 3
12:01:15.0	CONN EYE 4
12:01:16.0	EVENT GRP
12:02:00.0	TOGGLE 1
12:02:04.0	TOGGLE 2
12:02:50.0	TRIG 1
12:02:52.0	TRIG 3
12:03:35.0	TRIG 2
12:03:55.0	TRIG 4
12:04:25.0	TRIG 2
12:04:27.0	TRIG 2
12:04:28.0	TRIG 2
12:04:30.0	TRIG 2
12:04:32.0	TRIG 2
12:05:40.0	NUM 167
12:05:41.0	NUM 166
12:05:42.0	NUM 200
12:05:43.0	NUM 201
12:05:50.0	PRINT
12:06:00.0	ENDRUN
12:06:10.0	NEWRUN
13:01:00.0	EVENT GRP
13:04:30.0	TRIG 1
13:05:00.0	TRIG 1
13:05:02.0	TRIG 3
13:05:15.0	TRIG 2
13:05:17.0	TRIG 2
13:05:18.0	TRIG 2
13:05:19.0	TRIG 2
13:05:20.0	TRIG 2
13:05:21.0	TRIG 2
13:05:26.0	PRINT
13:05:29.0	EXPORT 2
13:05:52.0	OFF
13:05:55.0	EXIT
